time,COINBASE:open,COINBASE:high,COINBASE:low,COINBASE:close,COINBASE:volume,BINANCE:open,BINANCE:high,BINANCE:low,BINANCE:close,BINANCE:volume,BITFINEX:open,BITFINEX:high,BITFINEX:low,BITFINEX:close,BITFINEX:volume,KRAKEN:open,KRAKEN:high,KRAKEN:low,KRAKEN:close,KRAKEN:volume,min_close,max_close,buy_exchange,sell_exchange,spread_close_absolute,spread_close_pct,is_opportunity,is_opportunity_flag,is_real_opportunity,num_exchanges_available,volume_buy_exchange,volume_sell_exchange,min_volume,volume_ratio,max_high,min_low,high_exchange,low_exchange,spread_highlow_absolute,spread_highlow_pct,opportunity_gap,hour,minute,day_of_week,is_weekend,overlap_hours,BINANCE_volatility,BITFINEX_volatility,COINBASE_volatility,KRAKEN_volatility,volatility_avg,volatility_max,volatility_min,price_position_buy_exchange,price_position_sell_exchange,BINANCE_price_change,BITFINEX_price_change,COINBASE_price_change,KRAKEN_price_change,price_change_buy_exchange,price_change_sell_exchange,spread_rolling_std_5,spread_rolling_max_5,spread_rolling_min_5,volume_buy_rolling_std_5,volume_sell_rolling_std_5,spread_range_5,spread_zscore_5,spread_rolling_std_15,spread_rolling_max_15,spread_rolling_min_15,volume_buy_rolling_std_15,volume_sell_rolling_std_15,spread_range_15,spread_zscore_15,spread_rolling_std_30,spread_rolling_max_30,spread_rolling_min_30,volume_buy_rolling_std_30,volume_sell_rolling_std_30,spread_range_30,spread_zscore_30,spread_ma_5,spread_ema_5,volume_ma_buy_5,volume_ma_sell_5,spread_ma_15,spread_ema_15,volume_ma_buy_15,volume_ma_sell_15,spread_ma_30,spread_ema_30,volume_ma_buy_30,volume_ma_sell_30,spread_bb_upper_5,spread_bb_lower_5,spread_bb_position_5,spread_bb_upper_15,spread_bb_lower_15,spread_bb_position_15,spread_bb_upper_30,spread_bb_lower_30,spread_bb_position_30,spread_rate_change,spread_rate_change_pct,spread_rate_acceleration,price_ratio_buy_sell,price_ratio_BINANCE_BITFINEX,price_ratio_BINANCE_COINBASE,price_ratio_BINANCE_KRAKEN,price_ratio_BITFINEX_COINBASE,price_ratio_BITFINEX_KRAKEN,price_ratio_COINBASE_KRAKEN,avg_price_ratio,max_price_ratio,min_price_ratio,price_ratio_std,spread_lag_1,volume_buy_lag_1,volume_sell_lag_1,min_volume_lag_1,is_opportunity_lag_1,is_real_opportunity_lag_1,price_change_buy_lag_1,price_change_sell_lag_1,volatility_avg_lag_1,spread_lag_5,volume_buy_lag_5,volume_sell_lag_5,min_volume_lag_5,is_opportunity_lag_5,is_real_opportunity_lag_5,price_change_buy_lag_5,price_change_sell_lag_5,volatility_avg_lag_5,spread_lag_10,volume_buy_lag_10,volume_sell_lag_10,min_volume_lag_10,is_opportunity_lag_10,is_real_opportunity_lag_10,price_change_buy_lag_10,price_change_sell_lag_10,volatility_avg_lag_10,spread_lag_30,volume_buy_lag_30,volume_sell_lag_30,min_volume_lag_30,is_opportunity_lag_30,is_real_opportunity_lag_30,price_change_buy_lag_30,price_change_sell_lag_30,volatility_avg_lag_30,buy_exchange_lag_1,sell_exchange_lag_1,spread_diff_from_lag_1,volume_diff_from_lag_1,spread_diff_from_lag_5,volume_diff_from_lag_5
2022-03-04 10:00:00,2729.48,2732.51,2728.95,2729.98,97.96605098,2729.72,2732.44,2729.71,2730.55,119.0137,2732.0,2734.2,2732.0,2733.8,2.90761755,2730.33,2730.33,2729.78,2729.78,0.02930227,2729.78,2733.8,KRAKEN,BITFINEX,4.019999999999982,0.14726461473085675,0,0,0,4,0.02930227,2.90761755,0.02930227,99.22840619515144,2734.2,2728.95,BITFINEX,COINBASE,5.25,0.19238168526356292,0.045117070532706166,10,0,4,0,0,0.09997985753785935,0.08047406540346104,0.13040388574276734,0.020148143806450598,0.08275148812263458,0.13040388574276734,0.020148143806450598,0.0,0.8181818181819686,0.030406048972069735,0.06588579795022628,0.018318507554552516,-0.020144085147206642,-0.020144085147206642,0.06588579795022628,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,0.14726461473085675,0.02930227,2.90761755,,0.14726461473085675,0.02930227,2.90761755,,0.14726461473085675,0.02930227,2.90761755,,,,,,,,,,,,,1.0014726461473085,1.0011902363992602,0.9997912508468989,0.9997180055300214,0.9986026775916307,0.9985295193503548,0.9999267393900322,0.9996264048513664,1.0011902363992602,0.9985295193503548,0.0009820906410848282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-04 10:01:00,2729.92,2730.56,2728.35,2729.6,14.21603635,2730.55,2731.04,2729.04,2730.11,82.9748,2732.0,2732.5,2731.16051451,2732.5,2.74380451,2729.77,2729.77,2729.38,2729.38,20.10233,2729.38,2732.5,KRAKEN,BITFINEX,3.119999999999891,0.11431167517897438,0,0,0,4,20.10233,2.74380451,2.74380451,0.1364918648733754,2732.5,2728.35,BITFINEX,COINBASE,4.150000000000091,0.15210658456576653,0.037794909386792155,10,1,4,0,0,0.07325712150792459,0.049020511985353635,0.08096424384525339,0.01428895939736763,0.05438270918397481,0.08096424384525339,0.01428895939736763,0.0,1.0,-0.016113969713063468,0.018301610541727673,-0.011721955222137048,-0.01428691794546327,-0.01428691794546327,0.018301610541727673,,,,10.036513864999998,0.08190651999999998,,,,,,10.036513864999998,0.08190651999999998,,,,,,10.036513864999998,0.08190651999999998,,,,0.13628030154689597,10.065816134999999,2.82571103,,0.14314549728687145,10.065816134999999,2.82571103,,0.1451386186307353,10.065816134999999,2.82571103,,,,,,,,,,-0.032952939551882374,,,1.0011431167517897,1.0008754226020196,0.9998131943401547,0.9997326115064961,0.9989387008234217,0.9988581884720952,0.9999194021101994,0.9996895866423978,1.0008754226020196,0.9988581884720952,0.0007390811193597433,0.14726461473085675,0.02930227,2.90761755,0.02930227,0.0,0.0,-0.020144085147206642,0.06588579795022628,0.08275148812263458,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRAKEN,BITFINEX,-0.032952939551882374,2.71450224,,
2022-03-04 10:02:00,2729.67,2733.6,2727.79,2733.5,44.52354683,2730.11,2734.09,2728.32,2734.09,118.4597,2732.5,2735.0,2730.49918988,2734.9,19.0936198,2729.11,2733.98,2728.7,2733.98,3.14500769,2733.5,2734.9,COINBASE,BITFINEX,1.400000000000091,0.05121638924456158,0,0,0,4,44.52354683,19.0936198,19.0936198,0.42884318881654554,2735.0,2727.79,BITFINEX,COINBASE,7.210000000000036,0.26431653463059973,0.21310014538603816,10,2,4,0,0,0.21103913916513287,0.164569458481118,0.21254801536491474,0.19312504114880868,0.19532041353999358,0.21254801536491474,0.164569458481118,0.9827882960413236,0.9777817776503074,0.1457816718007706,0.08783165599268403,0.14031000084259002,0.17844645323933042,0.14031000084259002,0.08783165599268403,,,,34.62290730433841,7.66905733426502,,,,,,34.62290730433841,7.66905733426502,,,,,,34.62290730433841,7.66905733426502,,,,0.10792566411278451,52.23521138666666,8.248347286666666,,0.13165435878158271,52.23521138666666,8.248347286666666,,0.13907911996065958,52.23521138666666,8.248347286666666,,,,,,,,,,-0.0630952859344128,,-0.030142346382530424,1.0005121638924457,1.000296259450128,0.9997842060795364,0.9999597672351678,0.9994880982851292,0.9996636074445134,1.0001755990488386,0.9998945895905522,1.000296259450128,0.9994880982851292,0.00030832631083737845,0.11431167517897438,20.10233,2.74380451,2.74380451,0.0,0.0,-0.01428691794546327,0.018301610541727673,0.05438270918397481,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRAKEN,BITFINEX,-0.0630952859344128,16.34981529,,
2022-03-04 10:03:00,2733.49,2735.46,2732.94,2735.46,103.03417162,2734.09,2735.7,2733.44,2735.69,117.6182,2734.82776746,2737.22265698,2734.82776746,2737.22265698,7.585864689999999,2733.87,2735.66,2733.87,2735.6,5.58732632,2735.46,2737.22265698,COINBASE,BITFINEX,1.7626569799999743,0.06443731511336208,0,0,0,4,103.03417162,7.585864689999999,7.585864689999999,0.07362474575888671,2737.22265698,2732.94,BITFINEX,COINBASE,4.282656979999956,0.15670512268838524,0.09226780757502316,10,3,4,0,0,0.08261169942499931,0.08749341285383072,0.09212344541685792,0.06543354291562961,0.08191552515282938,0.09212344541685792,0.06543354291562961,1.0,1.0,0.05852038521043232,0.08757003086246945,0.07206903994528074,0.06328025838829272,0.07206903994528074,0.08757003086246945,,,,37.187490844386325,6.647790677772145,,,,,,37.187490844386325,6.647790677772145,,,,,,37.187490844386325,6.647790677772145,,,,0.0934295477796437,64.934951445,8.0827266375,,0.12325222832305513,64.934951445,8.0827266375,,0.1342635196479307,64.934951445,8.0827266375,,,,,,,,,,0.013220925868800498,,0.0763162118032133,1.0006443731511336,1.0005602451228026,0.9999159261466029,0.9999671015356272,0.999356041798242,0.9994071885325579,1.0000511796918983,0.9998762804712884,1.0005602451228026,0.999356041798242,0.000446970502629569,0.05121638924456158,44.52354683,19.0936198,19.0936198,0.0,0.0,0.14031000084259002,0.08783165599268403,0.19532041353999358,,,,,,,,,,,,,,,,,,,,,,,,,,,,COINBASE,BITFINEX,0.013220925868800498,-11.50775511,,
2022-03-04 10:04:00,2735.45,2735.45,2733.4,2733.92,58.25127803,2735.7,2735.7,2733.6,2734.56,182.8344,2736.67155312,2736.8,2735.6,2736.3,0.4109314,2735.61,2735.62,2735.24,2735.24,1.9405588,2733.92,2736.3,COINBASE,BITFINEX,2.380000000000109,0.08705448586645216,0,0,0,4,58.25127803,0.4109314,0.4109314,0.007054461531099217,2736.8,2733.4,BITFINEX,COINBASE,3.400000000000091,0.12438721006805045,0.03733272420159829,10,4,4,0,0,0.07679480428295261,0.04385484047802773,0.07498390589335925,0.013892747985555533,0.05238157465997378,0.07679480428295261,0.013892747985555533,0.2536585365853907,0.5833333333334281,-0.04167123588112266,-0.01357682545340332,-0.055932296331490085,-0.0135253197641603,-0.055932296331490085,-0.01357682545340332,0.03871621027132672,0.14726461473085675,0.05121638924456158,33.3687731073828,6.691152924792544,0.09604822548629517,,,,,33.3687731073828,6.691152924792544,,,,,,33.3687731073828,6.691152924792544,,,0.0928568960268414,0.0913045271419132,63.59821676200001,6.54836759,,0.11872751051597975,63.59821676200001,6.54836759,,0.1312177755329966,63.59821676200001,6.54836759,0.17028931656949484,0.01542447548418796,,,,,,,,0.022617170753090082,,0.009396244884289584,1.0008705448586646,1.000636299806916,0.9997659586917091,1.0002486688900591,0.9991302123305192,0.9996126155757774,1.0004828231989231,0.9999794297489841,1.000636299806916,0.9991302123305192,0.0005759627952080527,0.06443731511336208,103.03417162,7.585864689999999,7.585864689999999,0.0,0.0,0.07206903994528074,0.08757003086246945,0.08191552515282938,,,,,,,,,,,,,,,,,,,,,,,,,,,,COINBASE,BITFINEX,0.022617170753090082,-7.174933289999999,,
2022-03-04 10:05:00,2733.93,2735.32,2732.29,2734.04,189.27181275,2734.56,2735.69,2733.03,2734.73,298.1326,2735.90000772,2737.5,2734.8,2735.9,0.77211882,2735.23,2735.26,2735.23,2735.26,1.0548554,2734.04,2735.9,COINBASE,BITFINEX,1.8600000000001273,0.06803119193574811,0,0,0,4,189.27181275,0.77211882,0.77211882,0.004079417895256566,2737.5,2732.29,BITFINEX,COINBASE,5.210000000000036,0.19068254101870724,0.12265134908295913,10,5,4,0,0,0.0972673719160522,0.09868781753718403,0.11082500621791196,0.0010967878739205812,0.07696924588626719,0.11082500621791196,0.0010967878739205812,0.5775577557755395,0.40740740740740117,0.006216722251480047,-2.821740464161276e-07,0.004023511940690776,0.0010967999034889237,0.004023511940690776,-2.821740464161276e-07,0.024476051675933724,0.11431167517897438,0.05121638924456158,60.84855194119099,6.9721668848185105,0.0630952859344128,,,,,55.8702649506314,6.4763910413847405,,,,,,55.8702649506314,6.4763910413847405,,,0.07701021146781967,0.08354674873985818,81.859369116,6.121267844,,0.1123904706934508,84.54381609333333,5.585659461666666,,0.12714122175252895,84.54381609333333,5.585659461666666,0.12596231481968712,0.02805810811595222,,,,,,,,-0.019023293930704052,,-0.041640464683794134,1.0006803119193575,1.000427830169706,0.999747689899917,1.0001938034102087,0.9993201505902993,0.9997660733213933,1.0004462260976432,0.9999836289148613,1.0004462260976432,0.9993201505902993,0.00044691953839669685,0.08705448586645216,58.25127803,0.4109314,0.4109314,0.0,0.0,-0.055932296331490085,-0.01357682545340332,0.05238157465997378,0.14726461473085675,0.02930227,2.90761755,0.02930227,0.0,0.0,-0.020144085147206642,0.06588579795022628,0.08275148812263458,,,,,,,,,,,,,,,,,,,COINBASE,BITFINEX,-0.019023293930704052,0.36118742,-0.07923342279510864,0.74281655
2022-03-04 10:06:00,2734.19,2735.49,2733.81,2734.56,15.96846773,2734.72,2736.05,2734.55,2735.0,144.4569,2736.3,2736.8,2735.9,2736.1,0.59909662,2735.29,2735.29,2735.29,2735.29,1.33519341,2734.56,2736.1,COINBASE,BITFINEX,1.5399999999999636,0.056316189807499695,0,0,0,4,15.96846773,0.59909662,0.59909662,0.037517476950808225,2736.8,2733.81,BITFINEX,COINBASE,2.9900000000002365,0.10937117063732434,0.05305498082982464,10,6,4,0,0,0.054844606946983544,0.032893534593037205,0.06143584342635877,0.0,0.03729349624159488,0.06143584342635877,0.0,0.4464285714286149,0.22222222222199767,0.01023870816757109,-0.0073091400796795976,0.013532344131164654,0.0,0.013532344131164654,-0.0073091400796795976,0.013788187837425593,0.08705448586645216,0.05121638924456158,60.46173596799638,7.228038702397392,0.03583809662189058,,,,,57.020924132335544,6.244716579118479,,,,,,57.020924132335544,6.244716579118479,,,0.06541111439352473,0.07446989576240536,82.209855392,5.692326266,,0.10538118558270693,74.74733775571428,4.873293341428571,,0.12257186485284965,74.74733775571428,4.873293341428571,0.09298749006837592,0.037834738718673544,,,,,,,,-0.011715002128248414,,0.007308291802455638,1.000563161898075,1.0004021937842777,0.9998391224862888,1.0001060329067641,0.9994371550747414,0.9997039581886628,1.0002669533672692,0.9999592359680007,1.0004021937842777,0.9994371550747414,0.0003645856328115327,0.06803119193574811,189.27181275,0.77211882,0.77211882,0.0,0.0,0.004023511940690776,-2.821740464161276e-07,0.07696924588626719,0.11431167517897438,20.10233,2.74380451,2.74380451,0.0,0.0,-0.01428691794546327,0.018301610541727673,0.05438270918397481,,,,,,,,,,,,,,,,,,,COINBASE,BITFINEX,-0.011715002128248414,-0.17302220000000001,-0.057995485371474684,-2.14470789
2022-03-04 10:07:00,2734.9,2736.61,2734.28,2734.55,124.68501355,2735.0,2736.77,2734.6,2735.32,56.8533,2735.92787922,2737.71599508,2735.92787922,2737.0,4.17843496,2735.84,2736.39,2735.84,2736.39,1.45672514,2734.55,2737.0,COINBASE,BITFINEX,2.449999999999818,0.08959426596697145,0,0,0,4,124.68501355,4.17843496,4.17843496,0.03351192610108194,2737.71599508,2734.28,BITFINEX,COINBASE,3.435995079999884,0.12566361455300423,0.03606934858603278,10,7,4,0,0,0.07933258265943556,0.06533123346731053,0.085205975389001,0.020099474124657932,0.06249231641010126,0.085205975389001,0.020099474124657932,0.11587982832617606,0.5995812709809707,0.011700182815362475,0.039186733983129024,-0.012797542871765294,0.020103514825418414,-0.012797542871765294,0.039186733983129024,0.014570679539627852,0.08959426596697145,0.056316189807499695,58.9522122392282,2.8081085504820464,0.03327807615947176,,,,,55.836536596913014,5.8459159966978405,,,,,,55.836536596913014,5.8459159966978405,,,0.07308668973800671,0.07951135249726073,98.24214873599999,2.709289298,,0.10340782063074,80.98954723,4.78643604375,,0.12044427782795429,80.98954723,4.78643604375,0.10222804881726241,0.043945330658751,,,,,,,,0.03327807615947176,,0.04499307828772017,1.0008959426596697,1.000614187736718,0.9997184972873375,1.0003911790942193,0.9991048593350385,0.9997771282426013,1.000672871221956,1.000046453819645,1.000672871221956,0.9991048593350385,0.0006164816306132556,0.056316189807499695,15.96846773,0.59909662,0.59909662,0.0,0.0,0.013532344131164654,-0.0073091400796795976,0.03729349624159488,0.05121638924456158,44.52354683,19.0936198,19.0936198,0.0,0.0,0.14031000084259002,0.08783165599268403,0.19532041353999358,,,,,,,,,,,,,,,,,,,COINBASE,BITFINEX,0.03327807615947176,3.5793383399999996,0.03837787672240987,-14.915184839999998
2022-03-04 10:08:00,2734.55,2737.49,2734.48,2735.12,62.272798,2735.33,2737.97,2735.02,2735.45,109.4549,2737.0,2738.5,2737.0,2737.7,4.2626916,2736.43,2737.87,2735.47,2735.51,5.817693719999999,2735.12,2737.7,COINBASE,BITFINEX,2.5799999999999272,0.09432858521746496,0,0,0,4,62.272798,4.2626916,4.2626916,0.06845190415243586,2738.5,2734.48,BITFINEX,COINBASE,4.019999999999982,0.14701149761563373,0.052682912398168774,10,8,4,0,0,0.1078433164561523,0.05479051758775615,0.1100500160870369,0.08773501102171408,0.09010471528816485,0.1100500160870369,0.05479051758775615,0.2126245847175824,0.4666666666665454,0.0043870392237825365,0.025575447570325833,0.020844380245367937,-0.03362044707884426,0.020844380245367937,0.025575447570325833,0.016178130651141494,0.09432858521746496,0.056316189807499695,60.52330036054842,1.7804911365817482,0.03801239540996526,,,,,52.97079192753827,5.514039659232958,,,,,,52.97079192753827,5.514039659232958,,,0.07906494375882728,0.08445043007066214,90.089874012,2.04465468,,0.1022729162040806,78.90990842666666,4.728242216666667,,0.11875939443372918,78.90990842666666,4.728242216666667,0.11142120506111027,0.04670868245654429,,,,,,,,0.004734319250493502,,-0.028543756908978257,1.0009432858521747,1.0008225337695809,0.9998793617137949,1.0000219342338557,0.9990576030974906,0.9992000584432189,1.0001425897218406,0.9998540134966304,1.0008225337695809,0.9990576030974906,0.0006499345195812771,0.08959426596697145,124.68501355,4.17843496,4.17843496,0.0,0.0,-0.012797542871765294,0.039186733983129024,0.06249231641010126,0.06443731511336208,103.03417162,7.585864689999999,7.585864689999999,0.0,0.0,0.07206903994528074,0.08757003086246945,0.08191552515282938,,,,,,,,,,,,,,,,,,,COINBASE,BITFINEX,0.004734319250493502,0.08425664000000044,0.029891270104102877,-3.323173089999999
2022-03-04 10:09:00,2734.79,2736.12,2732.26,2732.63,154.46698895,2735.44,2736.63,2733.2,2733.6,190.0354,2737.18668184,2737.7,2736.19538651,2736.19538651,10.41050384,2735.68,2735.68,2735.68,2735.68,0.1000637,2732.63,2736.19538651,COINBASE,BITFINEX,3.5653865099998256,0.13047454320562335,0,0,0,4,154.46698895,10.41050384,10.41050384,0.06739630202392186,2737.7,2732.26,BITFINEX,COINBASE,5.4399999999996,0.19910257442555243,0.06862803121992908,10,9,4,0,0,0.12547556335968288,0.05498925615538766,0.14125585973950636,0.0,0.08043016981364423,0.14125585973950636,0.0,0.0958549222797726,0.0,-0.0672652297253877,-0.03621584660544913,-0.07898229845801157,0.0,-0.07898229845801157,-0.03621584660544913,0.028499918867361432,0.13047454320562335,0.056316189807499695,62.60123570782454,3.5544573159043016,0.07415835339812366,,,,,55.128149209241116,5.501826857624215,,,,,,55.128149209241116,5.501826857624215,,,0.08774895522666151,0.09979180111564921,109.33301619599999,4.044569168,,0.10579811957927344,86.465616479,5.296468379,,0.11951521048352881,86.465616479,5.296468379,0.14474879296138438,0.03074911749193865,,,,,,,,0.036145957988158395,,0.03141163873766489,1.0013047454320563,1.0009494390218028,0.9996451565700908,1.0007609013754755,0.9986969547103333,0.9998116411888781,1.001116140860636,1.0001633722878693,1.001116140860636,0.9986969547103333,0.0009407818750210902,0.09432858521746496,62.272798,4.2626916,4.2626916,0.0,0.0,0.020844380245367937,0.025575447570325833,0.09010471528816485,0.08705448586645216,58.25127803,0.4109314,0.4109314,0.0,0.0,-0.055932296331490085,-0.01357682545340332,0.05238157465997378,,,,,,,,,,,,,,,,,,,COINBASE,BITFINEX,0.036145957988158395,6.14781224,0.04342005733917119,9.99957244
